날짜,시간,오늘 발전량(kW),오늘 누적(kWh),오늘 일사량(W/㎡),오늘 기온(℃),오늘 풍속(㎧),내일 일사량(W/㎡),내일 기온(℃),내일 풍속(㎧)
20240101,9시,-,-,-,-,-,100.4,3.2,2
20240101,10시,-,-,-,-,-,271.3,5.1,0.7
20240101,11시,-,-,-,-,-,424.3,6.2,0.7
20240101,12시,-,-,-,-,-,528.8,6.8,1.4
20240101,13시,-,-,-,-,-,548,7,2
20240101,14시,-,-,-,-,-,517.6,7,1.8
20240101,15시,-,-,-,-,-,466.9,8.1,1.8
20240101,16시,-,-,-,-,-,332.6,8.2,1.6
20240101,17시,-,-,-,-,-,158.9,7.4,0.7
20240101,18시,-,-,-,-,-,17,5.6,1.2
20240101,19시,-,-,-,-,-,0,4.8,0.3
20240101,20시,-,-,-,-,-,0,4.6,0.9
20240101,21시,-,-,-,-,-,0,4.3,1.2
20240101,22시,-,-,-,-,-,0,4.5,1.3
20240101,23시,-,-,-,-,-,0,4.3,1.6
20240102,0시,-,-,-,-,-,-,-,-
20240102,1시,-,-,-,-,-,-,-,-
20240102,2시,-,-,-,-,-,-,-,-
20240102,3시,-,-,-,-,-,-,-,-
20240102,4시,-,-,-,-,-,-,-,-
20240102,5시,-,-,-,-,-,-,-,-
20240102,6시,-,-,-,-,-,-,-,-
20240102,7시,-,-,-,-,-,-,-,-
20240102,8시,-,-,-,-,-,-,-,-
20240102,9시,-,-,100.4,3.2,2,64.7,3.5,0.5
20240102,10시,361.73,495.6,271.3,5.1,0.7,204.4,5.2,1.5
20240102,11시,535.72,1031.32,424.3,6.2,0.7,321.4,6.4,1.4
20240102,12시,649.87,1681.19,528.8,6.8,1.4,395.4,6.8,1.3
20240102,13시,668.5,2349.69,548,7,2,527.7,7.5,2
20240102,14시,635.3,2984.99,517.6,7,1.8,483.9,7.4,1.8
20240102,15시,584.49,3569.48,466.9,8.1,1.8,338.3,7.9,1.8
20240102,16시,437.39,4006.87,332.6,8.2,1.6,199.8,7.6,1.2
20240102,17시,211.87,4218.74,158.9,7.4,0.7,73.3,7,1.2
20240102,18시,17,4235.74,17,5.6,1.2,12,6.3,1.2
20240102,19시,0,4235.74,0,4.8,0.3,0,5.8,1.1
20240102,20시,0,4235.74,0,4.6,0.9,0,5.7,1.1
20240102,21시,0,4235.74,0,4.3,1.2,0,5.3,0.9
20240102,22시,0,4235.74,0,4.5,1.3,0,5.1,0.6
20240102,23시,0,4235.74,0,4.3,1.6,0,5.3,0.6
20240103,0시,-,-,-,-,-,0,4.1,2
20240103,1시,-,-,-,-,-,0,3.1,1.6
20240103,2시,-,-,-,-,-,0,1.8,0.6
20240103,3시,-,-,-,-,-,0,1.3,0.2
20240103,4시,-,-,-,-,-,0,0.6,0.1
20240103,5시,-,-,-,-,-,0,0,0.4
20240103,6시,-,-,-,-,-,0,0.7,0.1
20240103,7시,-,-,-,-,-,0,1.4,0.7
20240103,8시,-,-,-,-,-,1.6,2.3,0.4
20240103,9시,133.87,133.87,100.4,3.2,2,64.7,3.5,0.5
20240103,10시,361.73,495.6,271.3,5.1,0.7,204.4,5.2,1.5
20240103,11시,535.72,1031.32,424.3,6.2,0.7,321.4,6.4,1.4
20240103,12시,649.87,1681.19,528.8,6.8,1.4,395.4,6.8,1.3
20240103,13시,668.5,2349.69,548,7,2,527.7,7.5,2
20240103,14시,635.3,2984.99,517.6,7,1.8,483.9,7.4,1.8
20240103,15시,584.49,3569.48,466.9,8.1,1.8,338.3,7.9,1.8
20240103,16시,437.39,4006.87,332.6,8.2,1.2,335.8,7.7,3
20240103,17시,97.73,3272.79,73.3,7,1.2,158.4,7.2,4.3
20240103,18시,12,3284.79,12,6.3,1.2,13.2,6.2,5.4
20240103,19시,0,3284.79,0,5.8,1.1,0,5.9,4.1
20240103,20시,0,3284.79,0,5.7,1.1,0,4.9,3.8
20240103,21시,0,3284.79,0,5.3,0.9,0,3.9,2.4
20240103,22시,0,3284.79,0,5.1,0.6,0,3.3,1.1
20240103,23시,0,3284.79,0,5.3,0.6,0,4.1,2.3
20240104,0시,0,0,0,4.1,2,0,5.2,0.6
20240104,1시,0,0,0,3.1,1.6,0,5.1,0.7
20240104,2시,0,0,0,1.8,0.6,0,4.8,0.4
20240104,3시,0,0,0,1.3,0.2,0,4.3,0.9
20240104,4시,0,0,0,0.6,0.1,0,4.2,0.3
20240104,5시,0,0,0,0,0.4,0,4.3,1.2
20240104,6시,0,0,0,0.7,0.1,0,4.4,1.4
20240104,7시,0,0,0,1.4,0.7,0,4.5,0.2
20240104,8시,1.6,1.6,1.6,2.3,0.4,0.4,4.8,0.8
20240104,9시,86.27,87.87,64.7,3.5,0.5,27.6,4.8,1.2
20240104,10시,272.53,360.4,204.4,5.2,1.5,134.2,4.8,1.6
20240104,11시,405.55,765.95,321.4,6.4,1.4,305.4,5.4,2.2
20240104,12시,486.6,1252.55,395.4,6.8,1.3,385.7,5.4,2.6
20240104,13시,643.74,1896.29,527.7,7.5,2,494.5,6.3,3.1
20240104,14시,593.46,2489.75,483.9,7.4,1.8,542.5,6.4,3.1
20240104,15시,423.04,2912.79,338.3,7.9,1.8,472.8,7.5,3.1
20240104,16시,262.27,3175.06,199.8,7.6,1.2,335.8,7.7,3
20240104,17시,97.73,3272.79,73.3,7,1.2,158.4,7.2,4.3
20240104,18시,12,3284.79,12,6.3,1.2,13.2,6.2,5.4
20240104,19시,0,3284.79,0,5.8,1.1,0,5.9,4.1
20240104,20시,0,3284.79,0,4.9,3.8,0,4.5,0.6
20240104,21시,0,3602.88,0,3.9,2.4,0,3.5,1.8
20240104,22시,0,3602.88,0,3.3,1.1,0,3.4,2
20240104,23시,0,3602.88,0,4.1,2.3,0,3.3,2.3
20240105,0시,0,0,0,5.2,0.6,0,2.9,1.5
20240105,1시,0,0,0,5.1,0.7,0,1.9,1.4
20240105,2시,0,0,0,4.8,0.4,0,1.7,1.3
20240105,3시,0,0,0,4.3,0.9,0,1.1,2
20240105,4시,0,0,0,4.2,0.3,0,1,1.6
20240105,5시,0,0,0,4.3,1.2,0,0.8,2.2
20240105,6시,0,0,0,4.4,1.4,0,0.4,2
20240105,7시,0,0,0,4.5,0.2,0,0.3,1.9
20240105,8시,0.4,0.4,0.4,4.8,0.8,2.5,0.7,1.8
20240105,9시,36.8,37.2,27.6,4.8,1.2,78,1.3,1.3
20240105,10시,178.93,216.13,134.2,4.8,1.6,250.3,2.2,1.5
20240105,11시,385.09,601.22,305.4,5.4,2.2,416.9,3.6,0.7
20240105,12시,474.34,1075.56,385.7,5.4,2.6,525.9,4.8,1.1
20240105,13시,603.3,1678.86,494.5,6.3,3.1,558,5.7,1.6
20240105,14시,664.75,2343.61,542.5,6.4,3.1,563.9,6.5,1.6
20240105,15시,590.53,2934.14,472.8,7.5,3.1,484.3,8.2,1.8
20240105,16시,439.94,3374.08,335.8,7.7,3,344.7,8,1.6
20240105,17시,211.2,3585.28,158.4,7.2,4.3,170.1,7.4,1.8
20240105,18시,17.6,3602.88,13.2,6.2,5.4,20.6,5.8,1.4
20240105,19시,0,3602.88,0,5.9,4.1,0,5.2,1.2
20240105,20시,0,3602.88,0,4.9,3.8,0,4.5,0.6
20240105,21시,0,3602.88,0,3.9,2.4,0,3.5,1.8
20240105,22시,0,3602.88,0,3.3,1.1,0,3.4,2
20240105,23시,0,3602.88,0,4.1,2.3,0,3.3,2.3
20240106,0시,0,0,0,2.9,1.5,0,3.3,2.3
20240106,1시,0,0,0,1.9,1.4,0,3.5,2.5
20240106,2시,0,0,0,1.7,1.3,0,3.4,2.2
20240106,3시,0,0,0,1.1,2,0,3.6,2.3
20240106,4시,0,0,0,1,1.6,0,3.9,2.9
20240106,5시,0,0,0,0.8,2.2,0,3.9,2.5
20240106,6시,0,0,0,0.4,2,0,4.2,2.4
20240106,7시,0,0,0,0.3,1.9,0,4,2.1
20240106,8시,2.5,2.5,2.5,0.7,1.8,2.2,4.3,1.6
20240106,9시,104,106.5,78,1.3,1.3,87.6,5.9,1.8
20240106,10시,333.73,440.23,250.3,2.2,1.5,226.4,7.8,1
20240106,11시,525.26,965.49,416.9,3.6,0.7,387.5,9.5,0.9
20240106,12시,646.26,1611.75,525.9,4.8,1.1,514.9,10.1,1.5
20240106,13시,680.22,2291.97,558,5.7,1.6,555.7,10.7,1.9
20240106,14시,687.38,2979.35,563.9,6.5,1.6,554.8,10.7,2.5
20240106,15시,603.83,3583.18,484.3,8.2,1.8,473.5,11.9,2.1
20240106,16시,450.69,4033.87,344.7,8,1.6,337.6,11.8,1.2
20240106,17시,226.8,4260.67,170.1,7.4,1.8,165.8,10.3,1
20240106,18시,27.47,4288.14,20.6,5.8,1.4,20.6,7.9,1.9
20240106,19시,0,4288.14,0,5.2,1.2,0,7.2,1.8
20240106,20시,0,4288.14,0,4.5,0.6,0,6.9,1.8
20240106,21시,0,4288.14,0,3.5,1.8,0,5.7,1.8
20240106,22시,0,4288.14,0,3.4,2,0,4.6,1.1
20240106,23시,0,4288.14,0,3.3,2.3,0,4.1,0.5
20240107,0시,0,0,0,3.3,2.3,0,4.3,0.5
20240107,1시,0,0,0,3.5,2.5,0,3.4,0.4
20240107,2시,0,0,0,3.4,2.2,0,4,0.1
20240107,3시,0,0,0,3.6,2.3,0,4.4,1.6
20240107,4시,0,0,0,3.9,2.9,0,4.4,3
20240107,5시,0,0,0,3.9,2.5,0,3.8,2.5
20240107,6시,0,0,0,4.2,2.4,0,3.4,2.4
20240107,7시,0,0,0,4,2.1,0,2.6,2.4
20240107,8시,2.2,2.2,2.2,4.3,1.6,2.7,2.2,2.6
20240107,9시,116.8,119,87.6,5.9,1.8,89.7,2.7,2.1
20240107,10시,301.87,420.87,226.4,7.8,1,264.9,4.3,2.1
20240107,11시,487.8,908.67,387.5,9.5,0.9,418.5,5.2,3.3
20240107,12시,624.46,1533.13,514.9,10.1,1.5,536.8,5.6,4.3
20240107,13시,664.42,2197.55,555.7,10.7,1.9,584.7,6.1,4.5
20240107,14시,667.55,2865.1,554.8,10.7,2.5,546.1,5.9,4.2
20240107,15시,582.49,3447.59,473.5,11.9,2.1,444.2,6.6,3.7
20240107,16시,440.49,3888.08,337.6,11.8,1.2,331.4,6.1,3.2
20240107,17시,221.07,4109.15,165.8,10.3,1,174.4,5.4,3.8
20240107,18시,27.47,4136.62,20.6,7.9,1.9,22.7,4.4,2.7
20240107,19시,0,4136.62,0,7.2,1.8,0,4.2,2.5
20240107,20시,0,4136.62,0,6.9,1.8,0,3.8,2.1
20240107,21시,0,4136.62,0,5.7,1.8,0,2.2,1.6
20240107,22시,0,4136.62,0,4.6,1.1,0,0.7,0.4
20240107,23시,0,4136.62,0,4.1,0.5,0,0.8,0.8
20240108,0시,0,0,0,4.3,0.5,0,1.4,2.4
20240108,1시,0,0,0,3.4,0.4,0,1.7,0.7
20240108,2시,0,0,0,4,0.1,0,2.7,2.1
20240108,3시,0,0,0,4.4,1.6,0,1.8,1
20240108,4시,0,0,0,4.4,3,0,3.4,4.1
20240108,5시,0,0,0,3.8,2.5,0,3.4,4.9
20240108,6시,0,0,0,3.4,2.4,0,2.8,4.2
20240108,7시,0,0,0,2.6,2.4,0,2.7,4.1
20240108,8시,2.7,2.7,2.7,2.2,2.6,2.6,1.8,5
20240108,9시,119.6,122.3,89.7,2.7,2.1,71.1,1.9,3.7
20240108,10시,353.2,475.5,264.9,4.3,2.1,211.7,3.4,4.5
